No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
10174D,SLIMMING SPECIAL TEA (20TB),슬리밍 스페셜 티 (20TB),CS,86,690,90,TRIPLELEAF,24X1.4 OZ,Dry,24
10177D,GINSENG SLIM POWER TEA,진생 슬림 파워 티,CS,108,690,90,3BALLERINA,36X1.88 OZ,Dry,36
10178D,RELAXING TEA (20TB),릴렉싱 티 (20TB),CS,105,690,90,TRIPLELEAF,24X1.4 OZ,Dry,24
10211K,GINSENG TEA (GRANULE_30P_WOODEN BOX),인삼차 (30봉_나무상자),CS,134,640,90,KOREA,30X3 OZ,Dry,30
10215K,GINSENG TEA BAGS - WOODEN BOX (50TB),인삼차,CS,0,1055,90,ASSI,30X50X0.1 OZ,Dry,30
10219K,GINSENG TEA (GRANULE_100P_WOODEN BOX),인삼차 (100봉_나무상자),CS,188,640,90,KOREA,20X10 OZ,Dry,20
10220K,GINSENG TEA (GRANULE_ 50P_ WOODEN BOX),인삼차 (50봉_ 나무상자),CS,133,1000,90,KOREA,20X5 OZ,Dry,20
10224K,RED GINSENG TEA (GRANULE_50P_PAPER BOX),홍삼차 (50봉_종이상자),CS,234,640,90,KOREA,30X5 OZ,Dry,30
10225K,RED GINSENG TEA (GRANULE_100P_PAPER BOX),홍삼차 (100봉_종이상자),CS,253,640,90,KOREA,20X10 OZ,Dry,20
10245D,BANANA FLAVORED MILK,바나나 우유,CS,23,270,60,EVERGREEN,8X3X8 OZ,Dry,8
10261C,LYCHEE BLACK TEA (8 OZ),리치 블랙차 (8 OZ),EA,5.8,640,90,SUNFLOWER,40X8 OZ,Dry,1
10263C,JASMINE TEA (4 OZ),자스민차 (4 OZ),EA,3.8,640,90,SUNFLOWER,60X4 OZ,Dry,1
10264C,JASMINE TEA (8 OZ),자스민차 (8 OZ),EA,6.5,640,90,SUNFLOWER,40X8 OZ,Dry,1
10265C,JASMINE TEA (1#),자스민차 (1#),EA,11.4,640,90,SUNFLOWER,24X1 LB,Dry,1
10266C,HONEY GINGER TEA (12TB),진한 향을 담은 생강 꿀차 (12TB),CS,69,1000,90,ASSI,24X12X0.63 OZ,Dry,24
10274K,PEAR DRINK W/PULP,생배,CS,40,640,90,NONGHYUP,6X12X8.1 OZ,Dry,6
10275K,PEACH DRINK W/PULP,생복숭아,CS,41,640,90,NONGHYUP,6X12X8.1 OZ,Dry,6
10285C,GINGER HONEY (BAG_ 2#),생강 꿀차 (BAG_ 2#),CS,60,1000,90,ASSI,10X2 LB,Dry,10
10291K,GINGER TEA (LIQUID_2.2#),생강차 (액상_2.2#),CS,78,640,90,ASSI,12X2.2 LB,Dry,12
10294K,CITRON TEA (LIQUID_2.2#),유자차 (액상_2.2#),CS,71,640,90,ASSI,12X2.2 LB,Dry,12
10304K,BLACK SUGAR GINGER TEA,흑당 생강차,CS,77,640,90,ASSI,15X1.27 LB,Dry,15
10308K,ROASTED GRAIN MIX POWDER (50P),율무차 (잣_호두_아몬드-50포),CS,156,640,90,DAMIZLE,12X50X0.7 OZ,Dry,12
10351D,BANANA FLAVORED MILK,바나나 우유,CS,15,270,60,EVERGREEN,24X8 OZ,Dry,24
10355J,HONEY GINGER TEA (12TB),생강꿀차 (12TB),CS,58,1000,90,KABUTO,24X7.62 OZ,Dry,24
10359K,HONEY PASSION FRUITS TEA (LIQUID_2.2#),꿀 패션 후르츠차 (액상_2.2#),CS,83,640,90,ASSI,12X2.2 LB,Dry,12
10366K,FRUIT JELLY (FOOTBALL),젤리컵 (풋볼),CS,34,640,90,PENGUIN,8X1.7 LB,Dry,8
10367K,FRUIT JELLY (PUPPY),젤리컵 (강아지),CS,35,640,90,PENGUIN,8X12.3 OZ,Dry,8
10368K,FRUIT JELLY (PINK CAT),젤리컵 (핑크 고양이),CS,36,640,90,PENGUIN,8X12.3 OZ,Dry,8
10369K,FRUIT JELLY (COW),젤리컵 (송아지),CS,39,640,90,PENGUIN,6X1.85 LB,Dry,6
10370K,FRUIT JELLY (PINK PIG),젤리컵 (분홍 돼지),CS,36,640,90,PENGUIN,6X1.85 LB,Dry,6
10373K,FRUIT JELLY (CHICKEN),젤리컵 (병아리),CS,35,640,90,PENGUIN,6X2.93 LB,Dry,6
10374K,FRUIT JELLY (ROUND JAR),젤리컵 (종합),CS,31,640,90,PENGUIN,6X2.93 LB,Dry,6
10375K,FRUIT JELLY (BIG OWL),젤리컵 (부엉이),CS,46,640,90,PENGUIN,8X1.85 LB,Dry,8
10376K,FRUIT JELLY (CARTON PANDA),젤리컵 (팬더),CS,37,640,90,PENGUIN,6X1.85 LB,Dry,6
