No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
06779T,PAD THAI SAUCE (L),파타이 소스 (L),CS,47,640,90,PANTAI,12X35 OZ,Dry,12
06780T,SWEET & SOUR SAUCE,스윗 앤 싸워 소스,CS,46,640,90,PANTAI,12X29 OZ,Dry,12
06785T,SWEET SOY SAUCE (L_GB),스윗 소이 소스 (L_GB),CS,41,640,90,PANTAI,12X35 OZ,Dry,12
06786T,OYSTER SAUCE (L),오이스터 소스 (L),CS,45,640,90,PANTAI,12X30.5 OZ,Dry,12
06787T,PAD THAI SAUCE (S),파타이 소스 (S),CS,23,640,90,PANTAI,12X9 OZ,Dry,12
06788T,SWEET SOY SAUCE (S_GB),스윗 소이 소스 (S_GB),CS,22,640,90,PANTAI,12X9 OZ,Dry,12
06789T,THAI TEA MIX,타이 티 믹스,CS,121,640,90,PANTAI,30X16 OZ,Dry,30
06791T,FISH SAUCE,피쉬 소스,CS,24,640,90,SHRIMP,12X24 OZ,Dry,12
06797T,SOYBEAN PASTE (JAR),소이빈 페이스트 (JAR),CS,30,640,90,PANTAI,12X17.6 OZ,Dry,12
06798T,CHILI PASTE W/SOYA BEAN OIL (MEDIUM HOT),칠리 페이스트 W/콩기름 (중간매운맛),CS,68,640,90,PANTAI,12X17.6 OZ,Dry,12
06802T,RED CURRY PASTE (M),레드 커리 페이스트 (M),CS,57,640,90,MAEPLOY,24X14 OZ,Dry,24
06803T,YELLOW CURRY PASTE (M),옐로우 커리 페이스트 (M),CS,55,640,90,MAEPLOY,24X14 OZ,Dry,24
06804T,GREEN CURRY PASTE (M),그린 커리 페이스트 (M),CS,55,640,90,MAEPLOY,24X14 OZ,Dry,24
06830T,OYSTER SAUCE (S),오이스터 소스 (S),CS,24,640,90,PANTAI,12X7.5 OZ,Dry,12
06834T,SWEET CHILI SAUCE (SUGAR FREE_GB),스윗 칠리 소스 (무설탕_GB),CS,26,640,90,PANTAI,12X7.5 OZ,Dry,12
06837T,BAMBOO SHOOT TIP (PKG_16 OZ),새순 죽순 (PKG_16 OZ),CS,75,640,90,THREEELEPHANTS,36X16 OZ,Dry,36
06838T,BAMBOO SHOOT STRIP (PKG_16 OZ),채썬 죽순 (PKG_16 OZ),CS,68,640,90,THREEELEPHANTS,36X16 OZ,Dry,36
06839T,BAMBOO SHOOT SLICE (PKG_16 OZ),썬 죽순 (PKG_16 OZ),CS,58,640,90,THREEELEPHANTS,36X16 OZ,Dry,36
06840T,PICKLED SOUR BAMBOO SHOOT SLICE (JAR_4#),싸워 썬 죽순 (JAR_4#),CS,28,640,90,THREEELEPHANTS,6X4 LB,Dry,6
06867T,COCONUT CREAM,코코넛 크림,CS,51,1000,90,SAVOY,24X14 OZ,Dry,24
06868T,COCONUT MILK,코코넛 밀크,CS,43,1000,90,CHEFSCHOICE,24X13.5 OZ,Dry,24
06885T,SWEETENED CHILI SAUCE FOR SPRING ROLL (L),스프링 롤 스위튼드 칠리 소스 (L),CS,52,640,90,PANTAI,12X32.5 OZ,Dry,12
06891T,COCONUT MILK,코코넛 밀크,CS,40,1000,90,AROYD,24X14 OZ,Dry,24
06893T,COCONUT MILK (DESSERT),코코넛 밀크 (디저트),CS,35,1000,90,AROYD,24X14 OZ,Dry,24
06894T,LYCHEE IN SYRUP,리치 인 시럽,CS,68,1000,90,AROYD,24X20 OZ,Dry,24
06895T,LONGAN IN SYRUP,롱간 인 시럽,CS,76,1000,90,AROYD,24X20 OZ,Dry,24
06900T,YOUNG CORN (15 OZ),영콘 통조림 (15 OZ),CS,51,1000,90,AROYD,24X15 OZ,Dry,24
06901T,YOUNG CORN (CUT_15 OZ),영콘 통조림 (CUT_15 OZ),CS,33,1000,90,AROYD,24X15 OZ,Dry,24
06907T,COCONUT MILK (UHT_ 1L),코코넛 밀크 (UHT_ 1L),CS,44,430,90,AROYD,12X33.8 OZ,Dry,12
06908T,COCONUT CREAM,코코넛 크림,CS,51,1000,90,AROYD,24X19 OZ,Dry,24
06921J,PASSION FRUIT JUICE,패션 후르츠 쥬스,CS,24,330,90,HAWAIIANSUN,24X11.5 OZ,Dry,24
06922J,PINEAPPLE & ORANGE JUICE,파인애플 & 오렌지 쥬스,CS,24,330,90,HAWAIIANSUN,24X11.5 OZ,Dry,24
06923J,GUAVA NECTAR JUICE,구아바 넥타 쥬스,CS,24,330,90,HAWAIIANSUN,24X11.5 OZ,Dry,24
06924J,PASS O GUAVA NECTAR JUICE,패션 후르츠 오렌지 구아바 넥타 쥬스,CS,24,330,90,HAWAIIANSUN,24X11.5 OZ,Dry,24
06929P,MARTYS CRACKLIN (PLAIN SALTED),마티스 크래클린 (플레인 소금맛),CS,47,280,90,OISHI,30X3.17 OZ,Dry,30
06930P,MARTYS CRACKLIN (SALT & VINEGAR),마티스 크래클린 (소금 & 식초맛),CS,49,280,90,OISHI,30X3.17 OZ,Dry,30
06931P,FISHDA FISH KROPECK SNACK,피쉬 칩 스낵,CS,43,280,90,OISHI,20X2.82 OZ,Dry,20
06932P,KIREI YUMMY FLAKES (SHRIMP),키레이 야미 플레이크 (새우맛),CS,46,280,90,OISHI,30X1.59 OZ,Dry,30
06935P,PRAWN CRACKERS (SWEET & EXTRA HOT),새우 크래커 (스윗 & 아주매운맛),CS,54,280,90,OISHI,30X3.17 OZ,Dry,30
06936P,RIBBED CRACKLINGS (SALT & VINEGAR),립드 크랙클링 (소금 & 식초맛),CS,50,280,90,OISHI,30X3.17 OZ,Dry,30
06937K,CRUNCHY PEPERO (L),크런치 빼빼로 (L),CS,39,280,90,LOTTE,9X4.94 OZ,Dry,9
06938K,PEPERO (CRUNCHY_ S),빼빼로 (크런치_ S),CS,41,280,90,LOTTE,40X1.38 OZ,Dry,40
07008K,ANCHOVY & KELP SOUP BASE (8TB),멸치_ 다시마 국물티백 (8TB),CS,45,280,90,HAEMIWON,10X5.3 OZ,Dry,10
07009K,ANCHOVY_ KELP & KATSUO SOUP BASE (8TB),멸치_ 다시마_ 가쓰오 국물티백 (8TB),CS,54,280,90,HAEMIWON,10X5.3 OZ,Dry,10
07040K,SEASONED SLICED SQUID (SMOKED_ HOT 5#),홍진미 (훈제_매운맛 5#),CS,226,460,90,MATSARANG,3X5 LB,Ref,3
07054K,SEASONED SLICED SQUID (SMOKED_HOT),홍진미 (훈제_매운맛),CS,97,460,90,MATSARANG,24X4 OZ,Ref,24
07055K,PREPARED SHREDDED SQUID (SAKIIKA_PLAIN),사끼이까 (플레인),CS,96,460,90,HANA,24X4 OZ,Ref,24
07056K,PREPARED SHREDDED SQUID (SAKIIKA_HOT),사끼이까 (매운맛),CS,96,460,90,HANA,24X4 OZ,Ref,24
07057K,PREPARED SHREDDED SQUID(SMOKED SAKIIKA_PLAIN,사끼이까 (훈제_플레인),CS,89,460,90,HANA,24X4 OZ,Ref,24
07058K,PREPARED SHREDDED SQUID (SMOKED SAKIIKA_HOT),사끼이까 (훈제_매운맛),CS,96,460,90,HANA,24X4 OZ,Ref,24
07072K,ROASTED & SEASONED LAVER (5X5SHT),[전장 김] 대천 재래김 (5X5SHT),CS,52,220,60,YISSINE,10X5X0.7 OZ,Dry,10
07073K,ROASTED & SEASONED LAVER (12P),[도시락 김] 대천 재래김 (12P),CS,51,220,60,YISSINE,12X12X0.17 OZ,Dry,12
07085K,DRIED SEAWEED (SANMOYOUNG_L),산모용 돌각미역 (L),CS,104,640,90,ASSI,15X6 OZ,Dry,15
07086K,DRIED SEAWEED (SANMOYOUNG_S),산모용 돌각미역 (S),CS,115,640,90,ASSI,30X3 OZ,Dry,30
07089C,DRIED SEAWEED (MIYEOK NARA),미역나라,CS,71,640,90,YISSINE,20X5 OZ,Dry,20
07091K,DRIED SEAWEED (PUREUNBADA_L),푸른바다 실미역 (L),CS,95,640,90,ASSI,12X7 OZ,Dry,12
07092K,DRIED SEAWEED (PUREUNBADA_S),푸른바다 실미역 (S),CS,115,640,90,ASSI,30X3 OZ,Dry,30
07095K,ROASTED & SEASONED FISH SNACK,꾸이맨,CS,73,280,90,KYONGJIN,6X10X1.05 OZ,Dry,60
07097K,ROASTED & SEASONED LAVER (10X5SHT),[전장 김] 올리브유 녹차김 박스 (10X5SHT),CS,131,220,60,ASSI,12X10X0.7 OZ,Dry,12
07100K,DRIED SEAWEED (GOGEUMDO),고금도 푸른미역,CS,64,460,90,YISSINE,15X5.29 OZ,Dry,15
07102K,DRIED SEAWEED (S),부드러운 실미역 (S),CS,52,1000,90,ASSI,15X5 OZ,Dry,15
07104K,ROASTED & SEASONED LAVER (GIFT BOX),[도시락 김] 서천 재래김 (선물박스),CS,43,220,60,ASSI,4X9X3X0.14 OZ,Dry,4
07105K,DRIED KELP,푸른바다 다시마,CS,82,460,90,ASSI,2X25X2 OZ,Dry,50
07106K,DRIED KELP,간편하게 튀겨먹는 다시마,CS,92,460,90,ASSI,24X4 OZ,Dry,24
07107K,DRIED LAVER SHRED (5.29 OZ),돌자반 (5.29 OZ),CS,102,280,90,ASSI,10X5.29 OZ,Dry,10
07108K,DRIED KELP (KOREA_22#),다시마 (22#),CS,187,460,90,ASSI,22 LB,Dry,1
07110K,DRIED KELP,푸른 다시마,CS,131,460,90,ASSI,24X8 OZ,Dry,24
07113K,DRIED KELP (KOREA_CUT_22#),썬 다시마 (KOREA_22#),CS,0,500,90,ASSI,22 LB,Dry,1
07118K,DRIED SEAWEED  SHREDDED,청정 해역 돌자반,CS,0,230,60,ASSI,20X2.8 OZ,Dry,20
07124K,ROASTED & SEASONED LAVER (3P),[도시락 김] 서산 재래김 (도시락용_3P),CS,22,220,60,ASSI,24X3X0.15 OZ,Dry,24
07129K,ROASTED & SEASONED LAVER (8+2P),[도시락 김] 올리브유 녹차김 (8+2P),CS,40,220,60,KWANGCHEON,10X10X0.17 OZ,Dry,10
07133K,ROASTED & SEASONED LAVER SHRED,광천 올리브유 녹차 돌자반,CS,56,220,60,KWANGCHEON,20X2.47 OZ,Dry,20
07135K,ROASTED & SEASONED LAVER (16P),[도시락 김] 파래김 (16P),CS,52,220,60,KWANGCHEON,8X16X0.17 OZ,Dry,8
07147K,ROASTED & SEASONED LAVER (12P),[도시락 김] 광천 올리브유 녹차김 (12P),CS,43,220,60,KWANGCHEON,10X12X0.17 OZ,Dry,10
07148K,ROASTED & SEASONED LAVER (8+2P),[도시락 김] 바다 야채 파래김 (8+2P),CS,41,220,60,KWANGCHEON,10X10X0.17 OZ,Dry,10
07149K,ROASTED & SEASONED LAVER (3P),[도시락 김] 올리브유 녹차김 (3P),CS,29,220,60,KWANGCHEON,24X3X0.17 OZ,Dry,24
07151K,ROASTED & SEASONED LAVER (8+2P),[도시락 김] 광천 바다 야채김 (8+2P),CS,40,220,60,ASSI,10X10X0.17 OZ,Dry,10
07152K,ROASTED & SEASONED LAVER (8+2P),[도시락 김] 올리브유로 구운 녹차김 (8+2P),CS,39,220,60,ASSI,10X10X0.17 OZ,Dry,10
07154K,DRIED SEAWEED (L),부드러운 실미역 (L),CS,86,1000,90,ASSI,12X10 OZ,Dry,12
07155K,ROASTED LAVER FOR SUSHI (W/PATTERN),삼각 김밥김 (W/김밥틀),CS,81,280,90,MYEONGGA,18X0.35 OZ,Dry,18
07156K,ROASTED LAVER FOR SUSHI,삼각 김밥김,CS,63,280,90,MYEONGGA,20X0.35 OZ,Dry,20
07157K,ROASTED & SEASONED LAVER (3P),올리브유로 구운 녹차김 (도시락_3P),CS,23,220,60,ASSI,24X3X0.17 OZ,Dry,24
07162K,ROASTED & SEASONED LAVER (3X5SHT),[전장 김] 소문난 파래 광천김 (3X5SHT),CS,45,220,60,KWANGCHEON,12X3X0.88 OZ,Dry,12
07167K,ROASTED & SEASONED LAVER (3P),[도시락 김] 재래김 (3P),CS,32,220,60,ASSI,24X3X0.17 OZ,Dry,24
07170K,ROASTED & SEASONED LAVER (3X5SHT),[전장 김] 재래김 (3X5SHT),CS,53,220,60,ASSI,24X2.1 OZ,Dry,24
07171K,ROASTED & SEASONED LAVER (3X5SHT),[전장 김] 올리브유 녹차김 (3X5SHT),CS,64,220,60,ASSI,24X2.1 OZ,Dry,24
07173K,ROASTED & SEASONED LAVER (3P),[도시락 김] 광천 재래김 (3P),CS,0,260,60,YISSINE,24X3X0.14 OZ,Dry,24
07174K,ROASTED & SEASONED LAVER (6P),[도시락 김] 올리브유로 구운 녹차김 (6P),CS,35,220,60,ASSI,12X6X0.17 OZ,Dry,12
07180K,ROASTED & SEASONED LAVER (12P),[도시락 김] 재래김 (12P),CS,47,220,60,ASSI,10X12X0.17 OZ,Dry,10
07183K,ROASTED & SEASONED LAVER (5X5SHT),녹차 재래 맛김 (5X5SHT),CS,98,220,60,SOLMOI,20X5X0.88 OZ,Dry,20
07184K,ROASTED & SEASONED LAVER (12P),녹차 재래 맛김 (도시락용_12P),CS,18,220,60,SOLMOI,6X12X0.18 OZ,Dry,6
07185K,SEAWEED FLAKE FOR KIDS,우리아이 주먹밥 김자반 ,CS,44,285,90,DONGWON,30X1.06 OZ,Dry,30
07192K,ROASTED & SEASONED LAVER (12P),[도시락 김] 더 바삭한 양반김 (12P),CS,47,280,90,DONGWON,10X12X0.17 OZ,Dry,10
07194K,ROASTED & SEASONED LAVER SHRED(2X2.12 OZ),달인 김병만의 김자반(2X2.12 OZ),CS,29,335,90,KWANGCHEON,10X2X2.12 OZ,Dry,10
07196K,ROASTED & SEASONED LAVER (16P),[도시락 김] 프렌즈 광천 파래김 (16P),CS,47,220,60,KWANGCHEON,8X16X0.14 OZ,Dry,8
07198K,ROASTED & SEASONED LAVER SHRED,프렌즈 광천 김자반,CS,40,220,60,KWANGCHEON,10X2X1.41 OZ,Dry,10
07199K,ROASTED & SEASONED LAVER (AVOCADO OIL_16P),[도시락 김] 아보카도유 김(16P),CS,48,335,90,KWANGCHEON,8X16X0.14 OZ,Dry,8
07200K,ROASTED & SEASONED LAVER (12P),달인 김병만의 재래 광천김 (12P_test),CS,26,330,90,KWANGCHEON,10X12X0.14 OZ,Dry,10
07205K,ROASTED & SEASONED LAVER (16P),[도시락 김] 더 고소한 재래김 도시락 (16P),CS,36,280,90,HAEPYO,6X16X0.17 OZ,Dry,6
07206K,ROASTED & SEASONED LAVER (16P),[도시락 김] 더 고소한 파래김 도시락 (16P),CS,32,280,90,HAEPYO,6X16X0.17 OZ,Dry,6
07207K,ROASTED & SEASONED LAVER (9P),달인 김병만의 광천김 (도시락용_9P),CS,32,220,60,KWANGCHEON,10X9X0.14 OZ,Dry,10
07208K,ROASTED & SEASONED LAVER (3P),[전장 김] 달인 김병만의 재래 광천김 (3P),CS,44,220,60,KWANGCHEON,12X3X0.71 OZ,Dry,12
07209K,ROASTED & SEASONED LAVER (3X5SHT),[전장 김] 3대째 달인 파래 광천김 (3X5SHT),CS,0,260,60,KWANGCHEON,12X3X0.7 OZ,Dry,12
07220K,PRE-CUT DRIED SEAWEED,절단 말린미역,CS,0,1040,90,SOOHYUP,10X2.82 OZ,Dry,10
07221K,ROASTED & SEASONED LAVER-PARAE GIM (16P),[도시락 김] 바다 야채 파래김(16P),CS,49,335,90,ASSI,8X16X0.17 OZ,Dry,8
07222K,ROASTED & SEASONED LAVER-OLIVE GREEN TEA GIM (16P),[도시락 김] 올리브유 녹차 김(16P),CS,46,335,90,ASSI,8X16X0.17 OZ,Dry,8
07223K,DRIED CUT SEAWEED (S),고흥산 컷트 미역 (S),CS,53,1000,90,ASSI,20X2.8 OZ,Dry,20
07224K,DRIED KELP,곤부 (다시마),CS,166,460,90,HANA,24X10.58 OZ,Dry,24
07225J,DRIED WAKAME SEAWEED - CUT,와카메 컷,EA,0,1040,90,HANA,10X2 LB,Dry,1
07231K,CANNED COCKLE,순살 왕꼬막,CS,99,1000,90,YUDONG,24X9.8 OZ,Dry,24
07232K,CANNED COCKLE & WHELK,순살 왕꼬막 & 골뱅이,CS,114,1000,90,YUDONG,24X9.8 OZ,Dry,24
07233K,ROASTED & SEASONED LAVER (3X5SHT),[전장 김] 재래김 (3X5SHT),CS,46,220,60,ASSI,12X2.11 OZ,Dry,12
07234K,ROASTED & SEASONED LAVER (3X5SHT),[전장 김] 올리브유 녹차김 (3X5SHT),CS,51,220,60,ASSI,12X2.11 OZ,Dry,24
07235K,SEAWEED FLAKE STICK (ORIGINAL),스틱 김자반 (오리지널),CS,79,285,90,KIMDAEGAM,15X5.29 OZ,Dry,15
07236K,SEAWEED FLAKE STICK (ZERO SUGAR),스틱 김자반 (제로 슈가),CS,79,285,90,KIMDAEGAM,15X5.29 OZ,Dry,15
07273K,SEASONED LAVER (OLIVE OIL_ 9P),올리브김 (도시락_ 9봉),CS,39,280,90,DONGWON,12X9X0.18 OZ,Dry,12
07275K,DRIED KELP,자른 다시마,CS,47,280,90,DONGWON,15X2.8 OZ,Dry,15
07278C,DRIED SLICED LAVER (KIZAMI NORI_L),기자미 노리 (L),CS,87,640,90,KABUTO,6X6.77 OZ,Dry,6
07295D,SPICY SAUSAGE&VEGETABLE SOUP W/CHEESE,존슨 부대찌개,CS,151,330,90,EMARTPK,24X15.9 OZ,Dry,24
07296D,SPICY BEEF BRISKET&VEGETABLE SOUP,차돌 육개장,CS,151,330,90,EMARTPK,24X15.9 OZ,Dry,24
07297D,OX BONE SOUP W/ BEEF,소고기 설렁탕,CS,110,330,90,EMARTPK,24X15.9 OZ,Dry,24
07299D,SEASONED SOYBEAN PASTE W/ PORK&BEEF,강된장 양념,CS,119,330,90,EMARTPK,24X12.3 OZ,Dry,24
07300K,ROASTED & SEASONED LAVER (16+4P),[도시락 김] 올리브유로 구운 재래김 (16+4P),CS,61,220,60,ASSI,10X20X0.14 OZ,Dry,10
07301K,ROASTED & SEASONED LAVER (16+4P),[도시락 김] 올리브유로 구운 파래김 (16+4P),CS,60,220,60,ASSI,10X20X0.14 OZ,Dry,10
07302K,ROASTED & SEASONED LAVER (16P),[도시락 김] 돌판구이 초사리김(16P),CS,56,285,90,DONGWON,10X16X0.14 OZ,Dry,10
07303K,ROASTED &SEASONED LAVER (3X5SHT),[전장 김] 구운생김 곱창돌김 (3X5SHT),CS,48,285,90,DONGWON,10X3X0.53 OZ,Dry,10
07304K,ROASTED & SEASONED LAVER (SESAME OIL_10X5SHT),[전장 김] 참기름 김 (10X5SHT),CS,61,285,90,DONGWON,6X10X0.71 OZ,Dry,6
07305K,ROASTED & SEASONED LAVER (ECO_ 20P),광천 에코  파래김 (무트레이_ 20P),CS,74,220,60,KWANGCHEON,10X20X0.17 OZ,Dry,10
07306K,ROASTED & SEASONED LAVER (SESAME OIL_12P),[도시락 김] 참기름 김 (12P),CS,47,285,90,DONGWON,10X12X0.16 OZ,Dry,10
07307K,ROASTED & SEASONED LAVER (PERILLA OIL_12P),[도시락 김] 들기름 김 (12P),CS,47,285,90,DONGWON,10X12X0.16 OZ,Dry,10
07308K,ROASTED & SEASONED LAVER (OLIVE_12P),[도시락 김] 올리브 김 (12P),CS,48,285,90,DONGWON,10X12X0.16 OZ,Dry,10
07309K,FRIED CALAMARI SNACK,후라이드 오징어 튀김,CS,149,285,90,GOMPYO,24X2.82 OZ,Dry,24
07310K,ROASTED SQUID (SOFT),맥반석 오징어,CS,101,280,90,JUNGHWA,30X1.76 OZ,Dry,30
07311K,ROASTED SQUID (ELECTRICAL),진미 오징어 (전기구이),CS,114,280,90,JUNGHWA,30X1.76 OZ,Dry,30
07312K,ROASTED SQUID (STRIP SPICY),핫진미 오징어,CS,101,280,90,JUNGHWA,30X1.06 OZ,Dry,30
07313K,ROASTED SQUID (SPICY),불고기 통 오징어 (매운맛),CS,114,280,90,JUNGHWA,30X1.76 OZ,Dry,30
07314K,ROASTED SQUID LEG (SMOKED),숫불 오징어 다리 구이,CS,99,280,90,JUNGHWA,30X1.76 OZ,Dry,30
07315K,ROASTED SQUID (SOFT),맥반석 오징어,CS,71,285,90,JUNGHWA,30X0.88 OZ,Dry,30
07316K,ROASTED SQUID (ELECTRICAL),진미 오징어 (전기구이),CS,106,285,90,JUNGHWA,30X1.94 OZ,Dry,30
07317K,ROASTED SQUID (STRIP SPICY),핫진미 오징어,CS,68,285,90,JUNGHWA,30X1.23 OZ,Dry,30
07318K,ROASTED SQUID (SPICY),불고기 통 오징어 (매운맛),CS,94,285,90,JUNGHWA,30X1.94 OZ,Dry,30
07319K,ROASTED SQUID LEG (SMOKED),숫불 오징어 다리 구이,CS,90,285,90,JUNGHWA,30X1.58 OZ,Dry,30
07320K,ROASTED SQUID (SPICY),핫 오징어,CS,80,285,90,JUNGHWA,30X1.23 OZ,Dry,30
07321K,TRUFFLE CRISPY SQUID SNACK,트러플 크리스피 오징어,CS,116,285,90,FRIED SEA,24X1.5 OZ,Dry,24
07322K,CAJUN CRISPY SQUID SNACK,케이준 크리스피 오징어,CS,113,285,90,FRIED SEA,24X1.5 OZ,Dry,24
07339J,SUSHI LAVER (SUSHI NORI_GREEN_40SHT),스시김 (스시 노리_그린_40장),CS,363,640,90,ASSI,50X3.52 OZ,Dry,50
07341J,SUSHI LAVER (SUSHI NORI_GOLD_100SHT),스시김 (스시 노리_골드_100장),CS,385,640,90,ASSI,20X8.81 OZ,Dry,20
07342J,SUSHI LAVER (SUSHI NORI_GREEN_100SHT),스시김 (스시 노리_그린_100장),CS,350,640,90,ASSI,20X8.81 OZ,Dry,20
07344J,SUSHI LAVER (SUSHI NORI_GOLD_40SHT),스시김 (스시 노리_골드_40장),CS,389,640,90,ASSI,50X3.52 OZ,Dry,50
07345J,ROASTED LAVER (GOLD_8SHT),[전장 김] 구운김 (골드_8장),CS,0,680,90,HANA,40X0.56 OZ,Dry,40
07346J,ROASTED LAVER (YAKI NORI_BLUE_8SHT),스시 노리 (블루_8장),CS,85,280,90,HANA,40X0.56 OZ,Dry,40
07347J,ROASTED LAVER (YAKI NORI_GREEN_8SHT),스시 노리 (그린_8장),CS,82,280,90,HANA,40X0.56 OZ,Dry,40
07350K,"ROASTED LAVER (YAKI SUSHI NORI, 100SHT)",두 번 구운 김밥김 (100장),CS,309,280,90,YISSINE,20X8.46 OZ,Dry,20
07352J,ORGANIC SUSHI NORI (HALF CUT ROASTED LAVER 200SHT),유기농 구운김(반장_스시노리 200장),CS,139,510,90,ASSI,10X9.88 OZ,Dry,10
07353J,ORGANIC SUSHI NORI (PREMEUM ROASTED LAVER 100SHT),유기농 구운김(전장_스시노리 100장),CS,167,510,90,ASSI,10X9.88 OZ,Dry,10
07419C,SARDINES IN TOMATO SAUCE,사딘 인 토마토 (정어리),CS,54,640,90,OM,24X15 OZ,Dry,24
07434K,COOKED SILKWORM CHRYSALIS (CAN),번데기 (캔),CS,56,1000,90,SAMPO,48X4.5 OZ,Dry,48
07441D,LUNCHEON LOAF,저염 햄,CS,58,1050,90,ASSI,24X12 OZ,Dry,24
07445D,LUNCHEON MEAT,런천 미트,CS,86,1050,90,DONGWON,24X12 OZ,Dry,24
07463K,BOILED MACKEREL (CAN),고등어 통조림,CS,44,1000,90,YUDONG,24X14.1 OZ,Dry,24
07464K,BOILED MACKEREL PIKE (CAN),꽁치 통조림,CS,100,1000,90,DONGWON,24X14.1 OZ,Dry,24
07465K,BOILED MACKEREL (CAN),고등어 통조림,CS,71,1000,90,DONGWON,24X14.1 OZ,Dry,24
07466K,BOILED MACKEREL PIKE (CAN),꽁치 통조림,CS,43,1000,90,ASSI,24X14.1 OZ,Dry,24
07474K,BOILED MACKEREL PIKE,꽁치 통조림,CS,0,1040,90,YUDONG,24X14.1 OZ,Dry,24
07478K,BOILED MACKEREL PIKE (CAN),꽁치 통조림,CS,78,1015,90,ASSI,24X10.6 OZ,Dry,24
07479K,BAI TOP SHELL (CAN),자연산 골뱅이 (캔),CS,167,1000,90,DONGWON,24X14.1 OZ,Dry,24
07480K,BAI TOP SHELL (CAN_HOT),자연산 골뱅이 (캔_매운맛),CS,160,1000,90,DONGWON,24X14.1 OZ,Dry,24
07486K,TUNA CAN (S_ LIGHT+ HOT),살코기 참치 (라이트 + 고추참치),CS,101,1720,90,DONGWON,12X4X5.3 OZ,Dry,12
07487K,"TUNA CAN (S, 4 CHUNK+ 2HOT)",살코기 참치 4 + 고추 참치 2 (S_6 캔),CS,81,1745,90,DONGWON,6X6X4.8 OZ,Dry,6
07490K,DONGWON TUNA GIFT SET (S14),동원참치 선물 세트(S14호),CS,129,1745,90,DONGWON,6X14X3.17 OZ,Dry,6
07491K,DONGWON GIFT SET (SPECIAL 14_7PC),동원 선물 세트(스페셜 14호_7PC),CS,79,1745,90,DONGWON,6X7 PC,Dry,6
07590K,BAI TOP SHELL (L_CAN),자연산 골뱅이 (L_캔),CS,167,1000,90,YUDONG,24X14.1 OZ,Dry,24
07594K,BAI TOP SHELL (CAN),자연산 골뱅이 (캔),CS,144,1000,90,ASSI,24X14.1 OZ,Dry,24
07597K,TUNA CAN (S_ 4 CHUNK+4 DHA),살코기 참치 4 + DHA 참치 4 (S_ 8 캔),CS,147,2440,90,DONGWON,10X8X3.2 OZ,Dry,10
07598K,TUNA CAN (S_4CAN),살코기 참치 (S_4캔),CS,114,2440,90,DONGWON,12X4X5.3 OZ,Dry,12
07599K,TUNA CAN (L_3CAN),살코기 참치 (L_3캔),CS,124,2440,90,DONGWON,12X3X8.81 OZ,Dry,12
07600K,TUNA CAN (S),살코기 참치 (S),CS,109,2440,90,DONGWON,48X5.3 OZ,Dry,48
07601K,TUNA CAN (L),살코기 참치 (L),CS,128,2440,90,DONGWON,36X8.81 OZ,Dry,36
07602K,TUNA CAN (DHA_S),DHA 참치 (S),CS,109,2440,90,DONGWON,48X5.3 OZ,Dry,48
07605K,TUNA CAN (HOT_S),고추 참치 (S),CS,109,1720,90,DONGWON,48X5.3 OZ,Dry,48
07617K,TUNA CAN (KIMCHI_S),김치찌개 참치 (S),CS,103,1720,90,DONGWON,48X5.3 OZ,Dry,48
07618K,TUNA CAN (DOUBLE HOT PEPPER_S),매운 고추 참치 (S),CS,109,1720,90,DONGWON,48X5.3 OZ,Dry,48
07619K,TUNA CAN (S_ 6 CHUNKS+2 HOT+CONTAINER),살코기 참치 6 +고추 참치 2 +반찬통 (S_8),CS,105,1720,90,DONGWON,10X8X3.2 OZ,Dry,10
07622K,TUNA CAN (HOT_S_4CAN),고추 참치 (S_4캔),CS,113,1720,90,DONGWON,12X4X5.3 OZ,Dry,12
07623K,TUNA CAN (KIMCHI_S_4CAN),김치찌개 참치 (S_4캔),CS,109,1720,90,DONGWON,12X4X5.3 OZ,Dry,12
07628K,TUNA CAN (W/KIMCHI SAUCE_S_4CAN),김치 참치 (김치소스_ S_4캔),CS,136,1720,90,DONGWON,20X4X3.17 OZ,Dry,20
07629K,TUNA CAN (S),살코기 참치 (S),CS,120,2440,90,DONGWON,48X4.8 OZ,Dry,48
07630K,TUNA CAN (DHA_S),DHA 참치 (S),CS,122,2440,90,DONGWON,48X4.8 OZ,Dry,48
07631K,TUNA CAN (HOT_S),고추 참치 (S),CS,121,1745,90,DONGWON,48X4.8 OZ,Dry,48
07632K,TUNA CAN (DOUBLE HOT PEPPER_S),매운 고추 참치 (S),CS,122,1745,90,DONGWON,48X4.8 OZ,Dry,48
07633K,TUNA (VEGETABLES_S_4CAN),야채참치 (S_4캔),CS,114,1745,90,DONGWON,12X4X4.8 OZ,Dry,12
07634K,TUNA (DHA_S_4CAN), DHA 참치(S_4캔),CS,116,2475,90,DONGWON,12X4X4.8 OZ,Dry,12
07635K,TUNA (DOUBLE HOT PEPPER_S_4CAN),매운고추참치 (S_4캔),CS,114,1745,90,DONGWON,12X4X4.8 OZ,Dry,12
07636K,SESAME OIL TUNA CAN (S_4CAN),동원맛참 고소참기름 (S_4 참치캔),CS,96,1745,90,DONGWON,12X4X4.8 OZ,Dry,12
