Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
01192K,,CS,Bar Code,,8801047857846,RETAIL 2023_05_09,,2024-07-29,,
01193K,,CS,Bar Code,,18801047857829,CASE,,2024-07-29,,
01193K,,CS,Bar Code,,8801047857822,EACH,,2024-07-29,,
01194K,,CS,Bar Code,,18801047859274,WH 2023_05_09,,2024-07-29,,
01194K,,CS,Bar Code,,8801047857570,EACH,,2024-07-29,,
01194K,,CS,Bar Code,,8801047859277,RETAIL 2023_05_09,,2024-07-29,,
01195K,,CS,Bar Code,,18801047859250,WH 2023_05_09,,2024-07-29,,
01195K,,CS,Bar Code,,8801047859253,RETAIL 2023_05_09,,2024-07-29,,
01196K,,CS,Bar Code,,18801047859311,WH 2023_05_09,,2024-07-29,2024-07-30,
01196K,,CS,Bar Code,,8801047859314,RETAIL 2023_05_09,,2024-07-29,2024-07-30,
01199K,,CS,Bar Code,,18801047857881,CASE,,2024-07-29,,
01199K,,CS,Bar Code,,8801047857884,EACH,,2024-07-29,,
01201D,,CS,Bar Code,,081652012016,EACH,,2024-07-29,2024-11-27,
01202D,,CS,Bar Code,,081652012023,EACH,,2024-07-01,2024-11-27,
01202D,,CS,Bar Code,,10081652012020,CASE,,2024-07-01,2024-11-27,
01203D,,CS,Bar Code,,081652012030,RETAIL 2023_03_17,,2024-07-01,2024-11-27,
01203D,,CS,Bar Code,,10081652012037,WH 2023_03_17,,2024-07-01,2024-11-27,
01206D,,CS,Bar Code,,081652012061,RETAIL,,2024-10-01,,
01206D,,CS,Bar Code,,10081652012068,,,2024-10-01,,
01208D,,CS,Bar Code,,081652012085,EACH,,2024-07-29,,
01208D,,CS,Bar Code,,10081652012082,CASE,,2024-07-29,,
01209D,,CS,Bar Code,,081652012092,RETAIL,,2024-07-01,2024-10-07,
01209D,,CS,Bar Code,,10081652012099,,,2024-07-01,2024-10-07,
01211D,,CS,Bar Code,,081652012115,RETAIL 2023_04_04,,2024-07-29,,
01211D,,CS,Bar Code,,10081652012112,WH 2023_04_04,,2024-07-29,,
01212D,,CS,Bar Code,,081652012122,RETAIL 2023_03_17,,2024-07-29,,
01212D,,CS,Bar Code,,10081652012129,WH 2023_03_17,,2024-07-29,,
01213D,,CS,Bar Code,,081652012139,RETAIL 2023_04_04,,2024-07-29,,
01213D,,CS,Bar Code,,10081652012136,WH 2023_04_04,,2024-07-29,,
01214D,,CS,Bar Code,,081652012146,RETAIL 2023_04_14,,2024-07-29,,
01214D,,CS,Bar Code,,10081652012143,WH 2023_04_14,,2024-07-29,,
01216D,,CS,Bar Code,,081652012160,RETAIL 2023_05_22,,2024-07-29,,
01216D,,CS,Bar Code,,10081652012167,WH 2023_05_22,,2024-07-29,,
01219D,,CS,Bar Code,,081652012191,RETAIL,,2024-10-13,2024-10-13,
01219D,,CS,Bar Code,,10081652012198,,,2024-10-13,2024-10-13,
01220D,,CS,Bar Code,,081652012207,RETAIL 2023_04_04,,2024-07-29,,
01220D,,CS,Bar Code,,10081652012204,WH 2023_04_04,,2024-07-29,,
01221D,,CS,Bar Code,,081652012214,EA,,2024-07-29,,
01221D,,CS,Bar Code,,10081652012211,BOX,,2024-07-29,,
01222D,,CS,Bar Code,,081652012221,RETAIL 2023_05_22,,2024-07-29,,
01222D,,CS,Bar Code,,10081652012228,WH 2023_05_22,,2024-07-29,,
01223D,,CS,Bar Code,,081652012238,EACH,,2024-07-29,,
01223D,,CS,Bar Code,,10081652012235,CS,,2024-07-29,,
01224D,,CS,Bar Code,,10081652012242,,,2025-07-01,2025-07-01,
01224D,,CS,Bar Code,,81652012245,RETAIL ,,2025-07-01,2025-07-01,
01225D,,CS,Bar Code,,10081652012259,,,2025-07-01,2025-07-01,
01225D,,CS,Bar Code,,81652012252,RETAIL,,2025-07-01,2025-07-01,
01226D,,CS,Bar Code,,10081652012266,,,2025-07-01,2025-07-01,
01226D,,CS,Bar Code,,81652012269,RETAIL ,,2025-07-01,2025-07-01,
01227D,,CS,Bar Code,,10081652012273,,,2025-07-01,2025-07-01,
01227D,,CS,Bar Code,,81652012276,RETAIL ,,2025-07-01,2025-07-01,
01228D,,CS,Bar Code,,10081652012280,,,2025-07-01,2025-07-01,
01228D,,CS,Bar Code,,81652012283,RETAIL ,,2025-07-01,2025-07-01,
01229D,,CS,Bar Code,,10081652012297,,,2025-07-01,2025-07-01,
01229D,,CS,Bar Code,,81652012290,RETAIL ,,2025-07-01,2025-07-01,
02002D,,CS,Bar Code,,081652020028,EACH,,2024-07-29,,
02002D,,CS,Bar Code,,10081652020025,CASE,,2024-07-29,,
02008D,,CS,Bar Code,,081652020080,RETAIL 2023_03_17,,2024-07-29,,
02008D,,CS,Bar Code,,10081652020087,WH 2023_03_17,,2024-07-29,,
02010D,,CS,Bar Code,,074823000219,EACH,,2024-07-29,2024-07-30,
02011D,,BG,Bar Code,,074823000233,EACH,,2024-07-29,2024-07-30,
02019T,,CS,Bar Code,,18934734222034,CASE,,2024-07-29,,
02019T,,CS,Bar Code,,8934734222037,EACH,,2024-07-29,,
02020T,,CS,Bar Code,,18934734032039,WH 2023_04_04,,2024-07-29,,
02020T,,CS,Bar Code,,8934734032032,RETAIL 2023_04_04,,2024-07-29,,
02022T,,CS,Bar Code,,18934734082034,WH 2023_04_24,,2024-07-29,,
02022T,,CS,Bar Code,,8934734082037,RETAIL 2023_04_24,,2024-07-29,,
02023T,,CS,Bar Code,,18934734052037,CASE,,2024-07-29,,
02023T,,CS,Bar Code,,8934734052030,RETAIL 2023_04_24,,2024-07-29,,
02024T,,CS,Bar Code,,28934734102104,WH 2023_05_09,,2024-07-29,,
02024T,,CS,Bar Code,,8934734102100,RETAIL 2023_05_09,,2024-07-29,,
02026T,,CS,Bar Code,,18934734022030,WH 2023_05_09,,2024-07-29,,
02026T,,CS,Bar Code,,8934734022033,RETAIL 2023_05_09,,2024-07-29,,
02027D,,CS,Bar Code,,8711553010034,EACH,,2024-07-29,,
02027D,,CS,Bar Code,,8711553013912,,,2024-11-01,,
02029D,,BG,Bar Code,,BULK,,,2024-07-29,,
02030D,,CS,Bar Code,,081652020301,RETAIL 2023_04_04,,2024-07-29,,
02030D,,CS,Bar Code,,10081652020308,WH 2023_04_04,,2024-07-29,,
02032D,,CS,Bar Code,,081652020325,RETAIL 2023_05_22,,2024-07-29,,
02032D,,CS,Bar Code,,10081652020322,WH 2023_05_22,,2024-07-29,,
02035K,,CS,Bar Code,,18809087460146,CASE,,2025-04-15,,
02035K,,CS,Bar Code,,8809087460149,EACH,,2025-04-15,,
02041D,,BG,Bar Code,,BULK,,,2024-07-29,,
02042K,,BX,Bar Code,,081652020424,EACH,,2024-07-29,2025-04-25,
02042K,,BX,Bar Code,,10081652020421,CASE,,2024-07-29,2025-04-25,
02045K,,CS,Bar Code,,081652020455,RETAIL 2023_04_14,,2024-07-29,2025-05-09,
02045K,,CS,Bar Code,,10080650020454,CASE,,2024-07-29,2025-05-09,
02045K,,CS,Bar Code,,10081650020454,WH 2023_04_14,,2024-07-29,2025-05-09,
02048C,,CS,Bar Code,,081652020486,RETAIL 2023_04_24,,2024-07-29,,
02048C,,CS,Bar Code,,10081652020483,WH 2023_04_24,,2024-07-29,,
02051K,,BX,Bar Code,,081652020516,EACH,,2024-07-29,2025-03-28,
02051K,,BX,Bar Code,,10081652020513,CASE,,2024-07-29,2025-03-28,
02054K,,CS,Bar Code,,28801176121539,WH 2023_05_22,,2024-07-29,,
02054K,,CS,Bar Code,,8801176121085,RETAIL 2023_04_04,,2024-07-29,,
02055K,,CS,Bar Code,,28801176101388,CASE,,2024-07-29,,
02055K,,CS,Bar Code,,8801176101179,EACH,,2024-07-29,,
02056D,,CS,Bar Code,,081652020561,RETAIL 2023_04_24,,2024-07-29,,
02056D,,CS,Bar Code,,10081652020568,WH 2023_04_24,,2024-07-29,,
02057K,,CS,Bar Code,,28801176101593,CASE,,2024-07-29,,
02057K,,CS,Bar Code,,8801176101186,EACH,,2024-07-29,,
02058K,,CS,Bar Code,,10081652020582,WH 2023_05_09,,2024-07-29,,
02058K,,CS,Bar Code,,8801176101018,EACH,,2024-07-29,,
02058K,,CS,Bar Code,,8801176111079,RETAIL 2023_05_09,,2024-07-29,,
02059K,,BG,Bar Code,,8801176101049,EACH,,2024-07-29,,
02060K,,CS,Bar Code,,081652020608,RETAIL 2023_04_04,,2024-07-29,2024-07-30,
02060K,,CS,Bar Code,,10081652020605,CASE,,2024-07-29,2024-07-30,
02060K,,CS,Bar Code,,18801013711650,WH 2023_04_04,,2024-07-29,2024-07-30,
