Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
02084K,,CS,Bar Code,,18801013793885,WH 2023_04_24,,2024-07-29,,
02084K,,CS,Bar Code,,8801013793413,EACH,,2024-07-29,,
02084K,,CS,Bar Code,,8801013793888,RETAIL 2023_04_24,,2024-07-29,,
02087K,,CS,Bar Code,,18801013795100,CASE,,2025-04-15,,
02087K,,CS,Bar Code,,8801013795103,EACH,,2025-04-15,,
02089K,,CS,Bar Code,,188001013797593,CASE,,2025-04-15,,
02089K,,CS,Bar Code,,8801013797596,EACH,,2025-04-15,,
02096D,,CS,Bar Code,,081652020967,RETAIL 2023_04_04,,2024-07-29,,
02096D,,CS,Bar Code,,10081652020964,WH 2023_04_04,,2024-07-29,,
02123K,,CS,Bar Code,,081652021230,RETAIL 2023_05_09,,2024-07-29,,
02123K,,CS,Bar Code,,10081652021237,WH 2023_05_09,,2024-07-29,,
02124K,,CS,Bar Code,,081652021247,RETAIL 2023_04_10,,2024-07-29,,
02124K,,CS,Bar Code,,10081652021244,WH 2023_04_10,,2024-07-29,,
02125K,,CS,Bar Code,,081652021254,EACH,,2024-07-29,,
02125K,,CS,Bar Code,,10081652021251,CASE,,2024-07-29,,
02148K,,CS,Bar Code,,081652021483,RETAIL 2023_03_17,,2024-07-29,,
02148K,,CS,Bar Code,,10081652021480,WH 2023_03_17,,2024-07-29,,
02149K,,CS,Bar Code,,081652021490,RETAIL 2023_04_10,,2024-07-29,,
02149K,,CS,Bar Code,,10081652021497,WH 2023_04_10,,2024-07-29,,
02150K,,CS,Bar Code,,081652021506,RETAIL 2023_04_24,,2024-07-29,,
02150K,,CS,Bar Code,,10081652021503,WH 2023_04_24,,2024-07-29,,
02151K,,CS,Bar Code,,081652021513,RETAIL 2023_05_09,,2024-07-29,,
02151K,,CS,Bar Code,,10081652021510,WH 2023_05_09,,2024-07-29,,
02153K,,CS,Bar Code,,58801176250018,WH 2023_04_24,,2024-07-29,,
02153K,,CS,Bar Code,,8801176250013,RETAIL 2023_04_24,,2024-07-29,,
02155K,,CS,Bar Code,,18801176250027,CASE,,2024-07-29,,
02155K,,CS,Bar Code,,18801176250034,CASE,,2024-07-29,,
02155K,,CS,Bar Code,,8801176250037,EACH,,2024-07-29,,
02156D,,CS,Bar Code,,081652021568,RETAIL 2023_04_04,,2024-07-29,,
02156D,,CS,Bar Code,,10081652021565,WH 2023_04_04,,2024-07-29,,
02161K,,BX,Bar Code,,081652021612,EACH,,2024-07-29,,
02163D,,CS,Bar Code,,081652021636,RETAIL 2023_04_24,,2024-07-29,,
02163D,,CS,Bar Code,,10081652021633,WH 2023_04_24,,2024-07-29,,
02164D,,CS,Bar Code,,081652021643,RETAIL 2023_04_04,,2024-07-29,,
02164D,,CS,Bar Code,,10081652021640,WH 2023_04_04,,2024-07-29,,
02168D,,CS,Bar Code,,081652021681,EACH,,2024-07-29,,
02168D,,CS,Bar Code,,10081652021688,CASE,,2024-07-29,,
02170D,,CS,Bar Code,,081652021704,EA,,2024-07-29,,
02170D,,CS,Bar Code,,10081652021701,,,2024-11-01,,
02192K,,CS,Bar Code,,18801013190301,WH 2023_04_04,,2024-07-29,,
02192K,,CS,Bar Code,,8801013130102,RETAIL 2023_04_04,,2024-07-29,,
02196K,,CS,Bar Code,,18801013120100,WH 2023_04_04,,2024-07-29,,
02196K,,CS,Bar Code,,8801013120103,RETAIL 2023_04_04,,2024-07-29,,
02196K,,CS,Bar Code,,8801013120110,EACH,,2024-07-29,,
02198K,,CS,Bar Code,,18801013110101,RETAIL 2023_04_04,,2024-07-29,,
02198K,,CS,Bar Code,,8801013110104,EACH,,2024-07-29,,
02200T,,CS,Bar Code,,084909003904,RETAIL 2023_04_14,,2024-07-29,,
02204K,,BX,Bar Code,,8805972001022,EACH,,2024-07-29,,
02207K,,BX,Bar Code,,645175860105,EACH,,2024-07-29,,
02207K,,BX,Bar Code,,645175930419,CS,,2024-07-29,,
02207K,,CS,Bar Code,,645175930419,CS,,2024-07-29,,
02208K,,CS,Bar Code,,645175860501,RETAIL 2023_04_24,,2024-07-29,,
02208K,,CS,Bar Code,,645175930426,WH 2023_04_24,,2024-07-29,,
02211T,,CS,Bar Code,,18934734202036,WH 2023_04_24,,2024-07-29,,
02211T,,CS,Bar Code,,8934734202039,RETAIL 2023_04_24,,2024-07-29,,
02214T,,CS,Bar Code,,18934734212035,WH 2023_05_09,,2024-07-29,,
02214T,,CS,Bar Code,,8934734212038,RETAIL 2023_05_09,,2024-07-29,,
02222T,,CS,Bar Code,,28934734432034,WH 2023_04_04,,2024-07-29,,
02222T,,CS,Bar Code,,8934734432030,RETAIL 2023_04_04,,2024-07-29,,
02228K,,CS,Bar Code,,8801176200223,CASE,,2025-04-15,,
02229K,,CS,Bar Code,,18801176679569,,,2025-04-04,,
02229K,,CS,Bar Code,,8801176679562,RETAIL,,2025-04-04,,
02230K,,CS,Bar Code,,18801176203726,,,2025-04-04,,
02230K,,CS,Bar Code,,8801176203729,RETAIL,,2025-04-04,,
02231K,,CS,Bar Code,,18801176203719,,,2025-04-04,,
02231K,,CS,Bar Code,,8801176203712,RETAIL,,2025-04-04,,
02303K,,CS,Bar Code,,18801176679576,,,2025-04-04,,
02303K,,CS,Bar Code,,8801176679579,RETAIL,,2025-04-04,,
03008K,,CS,Bar Code,,081652030089,RETAIL 2023_04_04,,2024-07-29,,
03008K,,CS,Bar Code,,10081652030086,WH 2023_04_04,,2024-07-29,,
03012K,,CS,Bar Code,,081652030126,RETAIL 2023_04_04,,2024-07-29,,
03012K,,CS,Bar Code,,10081652030123,WH 2023_04_04,,2024-07-29,,
03016K,,CS,Bar Code,,18801005107027,WH 2023_04_04,,2024-07-29,,
03016K,,CS,Bar Code,,8801005107020,RETAIL 2023_04_04,,2024-07-29,,
03018K,,CS,Bar Code,,18801005107003,WH 2023_04_04,,2024-07-29,,
03018K,,CS,Bar Code,,18810005107003,CASE,,2024-07-29,,
03018K,,CS,Bar Code,,8801005107006,RETAIL 2023_04_04,,2024-07-29,,
03020K,,CS,Bar Code,,18801005116043,WH 2023_03_17,,2024-07-29,,
03020K,,CS,Bar Code,,8801005116046,RETAIL 2023_03_17,,2024-07-29,,
03026K,,CS,Bar Code,,18801005112311,CASE,,2024-07-29,,
03026K,,CS,Bar Code,,8801005112314,EACH,,2024-07-29,,
03027K,,CS,Bar Code,,18801005140482,WH 2023_03_17,,2024-07-29,,
03027K,,CS,Bar Code,,8801005140485,RETAIL 2023_03_17,,2024-07-29,,
03028K,,CS,Bar Code,,18801005109212,WH 2023_03_17,,2024-07-29,,
03028K,,CS,Bar Code,,8801005109215,RETAIL 2023_03_17,,2024-07-29,,
03030K,,CS,Bar Code,,8801005113359,EACH,,2024-07-29,,
03034K,,CS,Bar Code,,18801005105207,WH 2023_04_24,,2024-07-29,,
03034K,,CS,Bar Code,,8801005105200,RETAIL 2023_04_24,,2024-07-29,,
03061D,,CS,Bar Code,,041390001826,EACH,,2024-07-29,,
03061D,,CS,Bar Code,,10041390001823,BOX,,2024-07-29,,
03062D,,CS,Bar Code,,041390001468,RETAIL 2023_03_17,,2024-07-29,,
03062D,,CS,Bar Code,,10041390001465,WH 2023_03_17,,2024-07-29,,
03065D,,CS,Bar Code,,04139344,EACH,,2024-07-29,,
03065D,,CS,Bar Code,,10041390000956,CASE,,2024-07-29,,
03066D,,CS,Bar Code,,04139247,RETAIL 2023_04_24,,2024-07-29,,
03066D,,CS,Bar Code,,10041390000703,WH 2023_04_24,,2024-07-29,,
03068D,,CS,Bar Code,,04139946,EACH,,2024-07-29,,
03068D,,CS,Bar Code,,10041390002806,CASE,,2024-07-29,,
03090D,,CS,Bar Code,,075810001356,EACH,,2024-07-29,,
03090D,,CS,Bar Code,,10075810001308,CASE,,2024-07-29,,
03099C,,CS,Bar Code,,081652030997,RETAIL 2023_03_17,,2024-07-29,,
03099C,,CS,Bar Code,,10081652030994,WH 2023_03_17,,2024-07-29,,
03100K,,CS,Bar Code,,081652031000,RETAIL 2023_03_17,,2024-07-29,,
03100K,,CS,Bar Code,,10081652031007,WH 2023_03_17,,2024-07-29,,
03101C,,CS,Bar Code,,023452080093,EACH,,2024-07-29,,
03102C,,CS,Bar Code,,023452080086,RETAIL 2023_05_22,,2024-07-29,,
03103C,,CS,Bar Code,,081652031031,RETAIL 2023_03_17,,2024-07-29,,
03103C,,CS,Bar Code,,10081652031038,WH 2023_03_17,,2024-07-29,,
03104C,,CS,Bar Code,,081652031048,RETAIL 2023_03_17,,2024-07-29,,
03104C,,CS,Bar Code,,10081652031045,WH 2023_03_17,,2024-07-29,,
03105C,,CS,Bar Code,,081652031055,RETAIL 2023_05_10,,2024-07-29,,
03105C,,CS,Bar Code,,10081652031051,CASE,,2024-07-29,,
03105C,,CS,Bar Code,,10081652031052,WH 2023_05_10,,2024-07-29,,
03110D,,CS,Bar Code,,011152069005,EACH,,2024-07-29,,
03111D,,CS,Bar Code,,011152021379,RETAIL 2023_03_17,,2024-07-29,,
03111D,,CS,Bar Code,,10011152021376,WH 2023_03_17,,2024-07-29,,
03112D,,CS,Bar Code,,011152263373,RETAIL 2023_04_24,,2024-07-29,,
03112D,,CS,Bar Code,,10011152263370,WH 2023_04_24,,2024-07-29,,
03113D,,CS,Bar Code,,011152021409,EACH,,2024-07-29,,
03119K,,CS,Bar Code,,18801056023737,CASE,,2024-07-29,,
03119K,,CS,Bar Code,,58801056023749,WH 2023_03_17,,2024-07-29,,
03119K,,CS,Bar Code,,8801056023737,RETAIL 2023_03_17,,2024-07-29,,
03121J,,CS,Bar Code,,14902551043242,WH 2023_04_04,,2024-07-29,,
03121J,,CS,Bar Code,,787811043241,RETAIL 2023_04_04,,2024-07-29,,
03122J,,CS,Bar Code,,24902551013143,WH 2023_05_09,,2024-07-29,,
